1|2026-09-05 15:58:57|2|DEPOSITO|500.00|{"100": 5}
2|2026-09-05 15:58:57|2|RETIRO|123.00|{"100": 1, "20": 1, "1": 3}
3|2026-09-05 15:58:57|3|DEPOSITO|1000.00|{"200": 5}
4|2026-09-05 15:58:57|4|DEPOSITO|300.00|{"50": 6}
5|2026-09-05 15:58:57|5|DEPOSITO|2000.00|{"200": 10}
1|2026-09-05 16:04:29|2|RETIRO|123.00|{"100": 1, "20": 1, "1": 3}
2|2026-09-05 16:04:29|2|DEPOSITO|500.00|{"200": 2, "50": 2}
3|2026-09-05 16:04:40|2|DEPOSITO|500.00|{"200": 2, "50": 2}
4|2026-09-05 16:04:52|2|RETIRO|123.00|{"100": 1, "20": 1, "1": 3}
5|2026-09-05 16:04:52|2|DEPOSITO|500.00|{"200": 2, "50": 2}
6|2026-09-05 16:05:01|2|RETIRO|123.00|{"100": 1, "20": 1, "1": 3}
7|2026-09-05 16:05:01|2|DEPOSITO|500.00|{"200": 2, "50": 2}
8|2026-09-05 16:19:58|2|RETIRO|123.00|{"100": 1, "20": 1, "1": 3}
9|2026-09-05 16:19:59|2|DEPOSITO|500.00|{"200": 2, "50": 2}
